,FIPS,State,Area_name,Unemployment_rate_2017,Median_Household_Income_2017,"Percent of adults with a bachelor's degree or higher, 2013-17",POP_ESTIMATE_2017,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
50,1101.0,AL,"Montgomery County, AL",4.3,"$45,833",32.3,"226,646",785.3,14.612,32.202881,-86.204461
51,1103.0,AL,"Morgan County, AL",4.1,"$49,274",20.9,"118,818",579.39,19.660999999999998,34.454484,-86.846402
52,1105.0,AL,"Perry County, AL",7.9,"$26,703",16.9,"9,339",719.6560000000001,4.223,32.639005,-87.29382700000001
53,1107.0,AL,"Pickens County, AL",5.3,"$38,379",11.8,"20,176",881.43,8.695,33.296793,-88.096863
54,1109.0,AL,"Pike County, AL",4.9,"$40,680",24.7,"33,267",672.068,0.902,31.798651,-85.941604
55,1111.0,AL,"Randolph County, AL",4.4,"$41,112",14.6,"22,670",580.549,3.585,33.296475,-85.46406800000001
56,1113.0,AL,"Russell County, AL",4.3,"$36,186",16.9,"57,045",641.153,6.039,32.289811,-85.18698
57,1115.0,AL,"St. Clair County, AL",4.0,"$52,755",16.0,"88,199",631.6030000000001,21.776,33.712963,-86.315663
58,1117.0,AL,"Shelby County, AL",3.2,"$74,098",42.2,"213,605",785.375,24.146,33.263042999999996,-86.678089
59,1119.0,AL,"Sumter County, AL",6.5,"$26,495",18.2,"12,687",903.826,9.512,32.597481,-88.200057
60,1121.0,AL,"Talladega County, AL",5.0,"$41,733",13.6,"80,065",736.7819999999999,23.524,33.369314,-86.17593000000001
61,1123.0,AL,"Tallapoosa County, AL",4.2,"$44,469",18.2,"40,681",716.5219999999999,49.732,32.863308,-85.79961800000001
62,1125.0,AL,"Tuscaloosa County, AL",4.1,"$51,644",30.2,"207,811",1320.859,30.392,33.29022,-87.52278299999999
63,1127.0,AL,"Walker County, AL",5.0,"$41,925",11.1,"64,058",791.002,14.190999999999999,33.791558,-87.30109399999999
64,1129.0,AL,"Washington County, AL",6.8,"$44,249",10.7,"16,531",1080.2060000000001,8.36,31.405216999999997,-88.197564
65,1131.0,AL,"Wilcox County, AL",11.4,"$25,700",12.0,"10,719",888.45,18.941,31.990082,-87.304935
66,1133.0,AL,"Winston County, AL",5.0,"$38,562",12.9,"23,722",612.979,18.889,34.154607,-87.36529
67,2013.0,AK,"Aleutians East Borough, AK",2.5,"$69,375",11.5,"3,370",6985.073,8031.029,55.24504399999999,-161.997477
68,2016.0,AK,"Aleutians West Census Area, AK",3.6,"$80,290",16.2,"5,763",4392.109,9724.373,51.948964000000004,179.621188
69,2020.0,AK,"Anchorage Borough/municipality, AK",6.0,"$78,579",34.6,"294,356",1706.4029999999998,237.646,61.17425,-149.284329
70,2050.0,AK,"Bethel Census Area, AK",13.8,"$45,582",12.6,"18,076",40629.075,4930.002,60.929141,-160.152625
71,2060.0,AK,"Bristol Bay Borough, AK",6.3,"$70,094",20.3,867,481.981,366.708,58.741647,-156.96690900000002
72,2068.0,AK,"Denali Borough, AK",9.4,"$73,220",44.5,"2,074",12636.961000000001,25.524,63.682039,-150.027016
73,2070.0,AK,"Dillingham Census Area, AK",9.3,"$52,641",17.4,"4,932",18331.368000000002,2297.571,59.543326,-158.267123
74,2090.0,AK,"Fairbanks North Star Borough, AK",6.3,"$74,241",33.1,"99,703",7329.518,105.42399999999999,64.67604399999999,-146.548159
75,2100.0,AK,"Haines Borough, AK",9.1,"$53,413",34.7,"2,526",2339.591,405.816,59.098404,-135.57579099999998
76,2105.0,AK,"Hoonah-Angoon Census Area, AK",12.6,"$50,573",21.9,"2,145",6556.62,3012.1220000000003,58.253462,-136.320731
77,2110.0,AK,"Juneau Borough/city, AK",4.7,"$90,436",40.3,"32,094",2703.863,550.8380000000001,58.37291,-134.17844499999998
78,2122.0,AK,"Kenai Peninsula Borough, AK",8.5,"$63,559",24.1,"58,617",16023.312,8697.082,60.366668000000004,-152.322283
79,2130.0,AK,"Ketchikan Gateway Borough, AK",6.3,"$71,298",24.1,"13,856",4856.873,1796.0510000000002,55.449938,-131.106685
80,2150.0,AK,"Kodiak Island Borough, AK",5.1,"$71,118",24.1,"13,448",6615.366999999999,5469.840999999999,57.7044,-153.918372
81,2158.0,AK,"Kusilvak Census Area, AK",20.1,"$31,250",4.9,"8,202",17073.912,2584.703,62.283588,-163.190171
82,2164.0,AK,"Lake and Peninsula Borough, AK",11.9,"$47,644",16.0,"1,620",23897.395,10035.677,58.108506999999996,-156.413413
83,2170.0,AK,"Matanuska-Susitna Borough, AK",8.7,"$72,296",20.6,"106,532",24713.791,562.501,62.27909399999999,-149.619094
84,2180.0,AK,"Nome Census Area, AK",12.6,"$53,877",14.0,"9,921",22971.967999999997,5318.276,64.783686,-164.18891200000002
85,2185.0,AK,"North Slope Borough, AK",7.4,"$82,736",15.3,"9,782",88824.397,6003.526,69.449343,-153.47283000000002
86,2188.0,AK,"Northwest Arctic Borough, AK",16.8,"$53,060",10.8,"7,684",35648.458,4971.321,67.005066,-160.021086
87,2195.0,AK,"Petersburg Borough, AK",9.3,"$59,176",26.5,"3,281",2900.615,921.222,57.112458,-133.008598
88,2198.0,AK,"Prince of Wales-Hyder Census Area, AK",11.4,"$46,488",16.8,"6,443",5262.772,5646.741,55.682773,-133.162389
89,2220.0,AK,"Sitka Borough/city, AK",4.7,"$69,501",32.9,"8,689",2870.015,1945.128,57.193204,-135.36739599999999
90,2230.0,AK,"Skagway Municipality, AK",10.6,"$66,991",32.2,"1,157",433.93300000000005,11.114,59.560379000000005,-135.338279
91,2240.0,AK,"Southeast Fairbanks Census Area, AK",10.4,"$59,382",19.5,"6,888",24822.773999999998,290.336,63.864996999999995,-143.218628
92,2261.0,AK,"Valdez-Cordova Census Area, AK",8.0,"$86,196",32.7,"9,278",34221.906,6083.634,61.34984,-145.02314099999998
93,2275.0,AK,"Wrangell Borough/city, AK",7.7,"$55,696",19.4,"2,521",2555.995,920.612,56.317416,-132.343978
94,2282.0,AK,"Yakutat Borough/city, AK",9.4,"$59,955",19.6,605,7623.278,1539.0529999999999,60.017453,-140.416942
95,2290.0,AK,"Yukon-Koyukuk Census Area, AK",18.3,"$37,907",12.4,"5,365",145573.899,2297.1020000000003,65.375727,-151.57785
96,4001.0,AZ,"Apache County, AZ",10.4,"$33,053",11.5,"71,606",11197.473,20.908,35.385084,-109.490172
97,4003.0,AZ,"Cochise County, AZ",5.6,"$48,966",23.6,"124,756",6164.573,52.903999999999996,31.840128999999997,-109.77516299999999
98,4005.0,AZ,"Coconino County, AZ",5.6,"$54,399",35.4,"140,776",18618.674,42.519,35.829692,-111.773728
99,4007.0,AZ,"Gila County, AZ",6.1,"$38,897",19.0,"53,501",4757.996,37.496,33.789618,-110.81187
100,4009.0,AZ,"Graham County, AZ",5.4,"$46,378",14.1,"37,466",4622.7,18.331,32.931828,-109.87831000000001
101,4011.0,AZ,"Greenlee County, AZ",5.1,"$63,557",12.1,"9,455",1841.9779999999998,5.309,33.238872,-109.242323
102,4012.0,AZ,"La Paz County, AZ",5.4,"$36,389",11.2,"20,601",4499.629,14.117,33.72761,-114.03880600000001
103,4013.0,AZ,"Maricopa County, AZ",4.2,"$62,221",31.4,"4,307,033",9199.251,24.802,33.345176,-112.49893
104,4015.0,AZ,"Mohave County, AZ",5.9,"$42,210",12.3,"207,200",13311.067,149.541,35.717705,-113.74968899999999
